statename,gender,educ,partyid,firstthought,taxpayer,percenttp,recent,tpfeel,biggest,wagesal,paystub,child,depend,glad,upset,benefit,wastecents,wastethink,eitcself,eitcexp,eitcother,eitcthink,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec,firstthought_sentiment,tpfeel_sentiment,benefit_sentiment,eitcthink_sentiment,taxpayer_gap
Wisconsin,2,2.0,4.0,Paying money to to the goverment,1,50.0,Two days ago when purchasing items from a store. ,It's part of life so I don't have a problem with it. ,I would have to say monthly purchases of none food related items are biggest.,1.0,state and federal taxes,4.0,no,Fixing roads that need to be repaired and health services,"People that abuse the system and take advantage of everyone that pays taxes. For example someone gets food stamps and instead of providing food for their home, they're buying food for other people or buying junk food instead. Or people who get benefits like caretakers and they have Iphones and cable yet their kids don't have clothes or food.If tax money is going to these programs then the people using them should  be have to follow certain guidelines. If you have a child on SSI you have show receipts showing purchases of what you bought them. Why not for caretakers especially for people that are showing abuse behaviors. ",I would have to say yes and no. The yes end would be at that school level tax dollars have been used to give schools free snack programs. A few of the schools have free lunch for all student regardless of income. ,60.0, Only one I'd say W2,1.0,I usually get a bigger tax refund.,1.0,I think it is a good thing to have.I think mothers whom haven't worked but file homestead should still be able to claim child tax credit if they are still providing for their child whether it with child support or government assistance. ,7.0,4.0,4.0,1.0,67,2.0,2.0,3.0,4.0,4,4,3,5,3,50,46,1.0,9.0,0.984578453,0,1,1,1,40.0
Kansas,2,5.0,4.0,fees that you pay to government for their use as they see fit.,1,71.0,gas tax when I filled up my car yesterday,"it feels okay for the most part, although I do feel taken for granted at times. ",personal property taxes on vehicles,1.0,"state, federal, medicare, social security",3.0,no,"roads, police, firefighters",I don't think my legislators should be voting for a pay raise. I think that should be left up to the people who voted them into office. ,We have great roads in our state. The school my children attend use a lot of the federal programs. The taxes pay for the police and firefighters who keep our community safe. ,25.0,studies on why mice go bald ,3.0,,1.0,they are credits meant to help families-they are good credit if they are used properly,1.0,4.0,2.0,1.0,10,1.0,2.0,3.0,1.0,2,1,3,1,1,17,44,1.0,14.0,1.154111704,1,1,1,1,19.0
Ohio,2,2.0,2.0,An expense people in the U.S. are forced to pay.,1,100.0,Yesterday when making a purchase at a store.,Does anyone feel great about being a taxpayer?  It is just something that is forced upon a person because of government rules.,"Estimated state and federal taxes, paid quarterly each year.",0.0,,0.0,"No, its just myself and my spouse.","As I said earlier, keeping the streets plowed in my city for transportation purposes.",Just about everything which is taxed except for food and I believe that will occur sometime down the road.,"Getting the snow plowed off the streets each winter due to tax dollars, otherwise, it would be vertually impossible to travel by car or walking.",60.0,Constantly sending money out of the country to help whenever a crisis occurs.,3.0,,4.0,,8.0,5.0,4.0,1.0,39,1.0,4.0,4.0,4.0,2,2,6,1,1,36,21,1.0,17.0,1.624211387,-1,1,0,0,10.0
Texas,1,5.0,5.0,Internal revenue services in receiving my in Federal come tax.,1,39.0,It was 8 years ago that I last pay income tax..,It is a lonely feeling that I have to pay taxes.,It seem that I pay over 20% on income taxes.,0.0,,0.0,No other dependents.,That I am receiving disability right now.,"Right now, nothing right now",yes,40.0,over paying fo tool and guns used in thew army,4.0,,3.0,,6.0,5.0,3.0,1.0,80,1.0,3.0,2.0,3.0,4,4,3,3,1,44,19,2.0,2.0,0.876566393,0,-1,1,0,51.0
New York,2,2.0,,money that comes out of your income to cover certain expenses of the state or federal government,1,60.0,sales tax when purchasing clothing,necessary expense,"sales, utilitiy",1.0,"fica, social security",0.0,0,"fire, education, police, highways","why be upset, doesn't change anything",dont know,19.0,didn't think of anything,4.0,,2.0,"what is there to think, suppose to be for those low income",,,4.0,1.0,50,1.0,,3.0,4.0,3,3,1,2,3,33,15,,,1.927817562,1,0,0,-1,30.0
California,1,6.0,7.0,Government corruption and excessive spending,1,44.0,"Payroll withholding, sales tax, property tax.",Ripped off,iincome tax,1.0,"Federal Income Tax, FICA, CA disability, CA income tax",0.0,no,nothing taxes need to ge cut 50% across the board and programs cut,"All social programs, taxes should only go for defense and infrastructure",no,84.0,Social programs pork spending foreign aid,3.0,,3.0,,1.0,7.0,1.0,1.0,1,1.0,2.0,1.0,4.0,2,1,3,1,1,5,15,1.0,19.0,1.732094445,0,0,-1,0,46.0
North Carolina,2,2.0,1.0,"i think taxes are way too high on everything, from property taxes, car taxes, etc...",1,91.0,i had to the property taxes on my house and also the yearly taxes on my car,it sucks,hoise taxes,1.0,"social security, federal & state ficc",0.0,0,"supporting government funded programs, paying for road maintenance","i think taxes are way too high i get upset when i know & see people getting  / free help"" from government agency, food stamps, medicaid, electric bills paid for, free cell phones and they get this all FOR FREE while I work I have to pay for everything myself, thank god i work so I can pay for their laziness",no because what i have i paid for myself while the lazy non=working people get all the freebies from the government,97.0,"welfare, food stamps, heap programs and especially medicaid",3.0,,3.0,,6.0,4.0,2.0,1.0,82,1.0,2.0,1.0,4.0,1,4,6,3,1,34,28,1.0,10.0,0.432154266,0,-1,-1,0,1.0
Massachusetts,2,4.0,5.0,money out of my pocket and nothing to show for it,1,81.0,Just paid my state tax on my home,used,sales tax,1.0,"state income, federal tax, Social Security ",0.0,1,"roadrepair, unemployed, people on gove give aways",most things given to people for free and they didnot work for it,road repair  about 50 %,70.0,support of other countries....still paying Japan for droping the bomb in WWII ... Supporting all the forign countries WORLD WELLFARE,2.0,not sure,4.0,,1.0,6.0,2.0,1.0,51,1.0,2.0,2.0,2.0,1,1,6,1,1,22,15,1.0,13.0,0.73595321,0,0,0,0,9.0
New York,1,3.0,4.0,that I will be paying more in the future,1,30.0,last month when I pd my school tax as a home owner,I do not enjoy it,property tax,1.0,"fica, social sercurity, federal and state",0.0,o,the roads and bridges I drive on,my city property tax because they are to high,not really when I have called the police they never have any available,19.0,foreign aid,3.0,,3.0,,6.0,6.0,4.0,1.0,19,1.0,3.0,3.0,4.0,3,1,3,3,1,33,20,1.0,4.0,0.341164062,0,-1,0,0,60.0
Texas,2,2.0,7.0,Paying out of pocket extra money for things I buy / ,1,81.0,Federal tax to the IRS every year,Everybody has to do it,federal income tax,1.0,social security  medicare,1.0,0,better schools  better education,welfare for people who don't want to work,not sure what you  mean,82.0,big fancy dinners for politicians,4.0,,4.0,,1.0,6.0,3.0,2.0,81,2.0,2.0,3.0,2.0,2,1,3,1,1,44,32,1.0,18.0,1.302865633,0,0,-1,0,9.0
